temp,pressure,humidity
24.3,1003.4,65.71666666666665
22.1,1002.2,77.2
21.2,1001.8,85.0
23.3,1002.3,63.7
22.7,1001.4,62.0
22.199999999999996,1001.8,67.2
22.2,1003.5,65.53333333333333
23.1,1005.0500000000001,62.6
23.400000000000002,1005.6,64.0
23.1,1004.3,73.2
22.2,998.5,80.1
22.9,997.6166666666668,83.93333333333331
22.1,999.6,83.1
24.5,1001.8138888888889,76.0
24.633333333333333,1002.4,76.3
24.4,999.5,76.3
25.261111111111113,998.4,76.8
25.7,998.4,75.6
25.20648148148148,1000.1,72.1
24.2,1000.8833333333333,74.1
23.1,1001.0722222222222,75.9
22.8,1001.1,74.35
25.7,1001.4,71.8
25.6,1002.6,70.6
26.9,1002.2,53.6
26.4,1003.9166666666666,70.9
26.3,1005.0,74.3
26.5,1002.7,62.0
24.5,998.1,70.4
23.5,1002.7,64.81666666666668
21.4,1006.8,56.2
22.8,1006.7,55.5
23.93333333333333,1002.9833333333333,63.5
24.9,1000.4,73.0
25.8,1003.7,68.5
25.4,1002.5,67.3
25.266666666666662,1000.2,66.4
25.5,998.9,58.5
26.2,999.6499999999999,55.4
26.8,999.9,60.6
23.8,997.1,74.91666666666666
20.1,996.4,82.6
20.5,999.8,67.9
21.6,999.7,60.7
20.1,994.8,68.8
19.9,996.8,80.7
21.7,997.5,71.1
22.2,995.7,74.0
23.3,998.9166666666665,66.9
23.95,1003.2,66.7
24.3,1004.6,66.6
24.5,1006.3,66.8
25.166666666666664,1005.3,67.5
24.8,1001.5,71.8
21.9,1002.6833333333335,82.1
23.1,1004.2,72.9
24.0,1001.4,67.8
24.5,996.7,68.6
24.8,995.4,70.3
25.5,992.5,68.8
25.8,994.6,68.91666666666666
25.9,997.0,68.9
26.6,998.1,67.0
26.3,999.1,71.8
26.6,995.3,65.8
24.7,997.3,60.93333333333332
23.0,1002.0,58.2
23.28333333333333,1003.9,58.6
24.2,1004.1,59.6
24.4,1001.7,67.8
24.5,1000.3,72.0
25.1,1002.5,71.4
25.4,1003.5,70.7
25.6,1001.9,61.1
24.9,998.6,66.8
25.0,996.1,76.1
25.3,996.2,78.0
23.8,999.6,81.7
20.5,1001.6,80.56666666666668
20.8,1003.8,76.4
21.7,1005.4,71.0
22.7,1006.3,75.3
22.4,1004.7,88.1
24.7,1004.4,82.9
24.8,1005.6,83.7
25.9,1005.3,80.1
26.2,1004.0,77.2
26.2,1004.2333333333333,77.5
25.8,1005.0,76.1
25.0,1005.3,72.0
24.083333333333332,1004.5,70.81666666666666
23.3,1004.9,70.8
22.93611111111111,1002.7,70.2
22.9,999.9,73.71666666666667
22.99398148148148,1000.9,75.1
23.062654320987654,1002.2166666666665,68.1
23.22610596707819,1002.9277777777775,72.1
23.1,1003.049074074074,70.23333333333333
22.3,1003.2,67.4
21.6,1004.0,68.5
21.816666666666666,1003.9,69.8
22.3,1002.9,68.2
22.4,1002.2,71.36666666666667
23.2,1004.9,73.0
22.2,1007.2,70.98888888888888
22.4,1008.4333333333334,66.8
22.1,1008.2,61.9
20.9,1007.5777777777778,74.1
20.2,1006.1,72.2
20.6,1003.3,67.4
24.3,1003.75,42.5
21.73333333333333,1005.2,72.1
17.5,1005.4,88.0
16.2,1009.0,67.2
15.816666666666666,1010.7,60.9
16.8,1005.2,67.5
19.6,1000.2,74.73333333333332
19.5,999.4999999999999,78.8
20.8,1001.1,75.9
20.416666666666668,1003.0,78.3
19.79444444444444,1007.8,73.4
19.6,1004.8,68.8
20.5,1002.8,62.16666666666666
22.0,1001.1,61.9
21.8,999.0,76.4
23.2,998.0,64.5
24.4,998.1,55.0
18.0,996.5,65.33333333333333
